id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"9339184","2012-02-18 06:26:50","2","1484","Python: Pandas, Dataframe, Convert 1column data into 2D data format","2","0","0","notilas","2343","jfs","403466"
"9421412","2012-02-23 21:14:19","2","5708","Initializing pandas dataframes with and without index,columns yields different results","1","0","0","benjaminmgross","2052","Wes McKinney","102497"
"9516422","2012-03-01 12:40:33","2","1321","nan, floats and ints","1","0","","Jose Blanca","105","Wes McKinney","102497"
"9550867","2012-03-03 23:42:13","5","4453","Python Pandas Pivot Table","2","0","0","user1026987","73","BioGeek","22147"
"9555635","2012-03-04 14:25:36","19","7082","Open source Enthought Python alternative","8","5","0","tshauck","20936","ogrisel","39530"
"9556892","2012-03-04 16:58:45","7","7977","Pandas DataFrame - desired index has duplicate values","1","0","0","kavu","309","Wes McKinney","102497"
"9588331","2012-03-06 17:01:47","25","18630","Simple cross-tabulation in pandas","2","3","0","Jon Clements","139646","Jeff Hammerbacher","4226"
"9597681","2012-03-07 07:56:37","5","6378","read_csv converters for unknown columns","1","0","","Jose Blanca","105","Wes McKinney","102497"
"9621362","2012-03-08 16:42:30","16","24089","how do I compute a weighted moving average using pandas","4","1","0","thatshowthe","345","Wes McKinney","102497"
"9641916","2012-03-09 22:36:52","7","5887","Python Pandas: can't find numpy.core.multiarray when importing pandas","4","2","","Dylan Cutler","81","",""
"9647656","2012-03-10 15:35:26","3","1360","Pandas dataframe in mixed mode can't serialize to hdf5?","1","0","","David van Coevorden","85","",""
"9652832","2012-03-11 06:00:56","235","356755","How to load a tsv file into a Pandas DataFrame?","9","2","0","screechOwl","27569","huon","96721"
"9695668","2012-03-14 03:50:45","8","5808","How to specify dtype when using pandas.read_csv to load data from csv files?","2","1","0","Deadwood","93","Wes McKinney","102497"
"9721429","2012-03-15 14:08:31","16","25093","How do I read a fixed width format text file in pandas?","4","2","0","user1234440","22837","user1234440","22837"
"9723000","2012-03-15 15:33:47","6","1383","How do I tell pandas to parse a particular column as a datetime object, but not make it an index?","1","0","0","Uri Laserson","2411","Wes McKinney","102497"
"9758450","2012-03-18 12:53:06","255","326415","Pandas convert dataframe to array of tuples","11","3","0","enrishi","2973","Kamil Sindi","22092"
"9762193","2012-03-18 20:51:48","4","3574","Pandas rolling median for duplicate time series data","1","0","0","Aaron","43","Wes McKinney","102497"
"9762935","2012-03-18 22:34:26","14","12502","Add indexed column to DataFrame with pandas","2","0","0","saroele","9601","Wes McKinney","102497"
"9787853","2012-03-20 13:36:09","80","62070","join or merge with overwrite in pandas","4","0","0","saroele","9601","Wes McKinney","102497"
"9788299","2012-03-20 14:00:00","7","10458","How to perform slicing of a data frame using datetimes?","2","0","0","saroele","9601","Wes McKinney","102497"
"9794697","2012-03-20 20:49:24","1","1575","Best way to construct a pandas.DataFrame composed of different chunks","1","0","0","saroele","9601","Wes McKinney","102497"
"9826431","2012-03-22 16:23:22","7","11593","Fast insertion of pandas DataFrame into Postgres DB using psycopg2","2","3","","Arthur G","1397","",""
"9850954","2012-03-24 10:26:50","28","23105","pandas - get most recent value of a particular column indexed by another column (get maximum value of a particular column indexed by another column)","7","0","0","enrishi","2973","",""
"9851018","2012-03-24 10:35:14","1","220","What extra data is stored in Series and DataFrame objects?","1","0","","user1289813","11","",""
"9877391","2012-03-26 18:11:04","18","25327","How to get the closest single row after a specific datetime index using Python Pandas","3","0","0","John Cornwell","359","Wes McKinney","102497"
"9892044","2012-03-27 14:54:46","3","1076","Pandas Date converter","1","0","","Fernando Mourão","31","",""
"9927711","2012-03-29 14:42:42","2","3959","Reading csv in python pandas and handling bad values","3","0","0","Dave31415","2886","eumiro","208571"
"9938130","2012-03-30 06:41:28","5","3961","plotting stacked barplots on a pandas dataframe","2","1","","Abhi","6105","Wes McKinney","102497"
"9941288","2012-03-30 10:30:59","1","444","pandas: Change one Series by using a second one with the same index","1","0","","Einar","4759","eumiro","208571"
"9943848","2012-03-30 13:22:40","2","6386","Forecasting using Pandas OLS","1","1","0","Turukawa","155","Chang She","16750"
"9944436","2012-03-30 13:58:29","34","27905","Converting OHLC stock data into a different timeframe with python and pandas","4","4","0","kgr","9790","Garrett","47935"
"9949427","2012-03-30 19:38:23","15","21221","How to change the dtype of certain columns of a numpy recarray?","3","0","0","mathtick","6600","unutbu","852025"
"9962114","2012-04-01 05:25:20","15","29311","Control Charts in Python","1","0","0","John","41721","Josh Hemann","940"
"9962822","2012-04-01 07:56:42","8","9368","Pandas pivot_table on date","1","1","0","John","41721","Wes McKinney","102497"
"10002181","2012-04-03 22:10:49","1","743","What python's Pandas data struts used for?","1","0","","Merlin","24772","Wes McKinney","102497"
"10003171","2012-04-03 23:59:41","1","640","What is an efficient way in pandas to do summaryBy(...,full.dimension=T)","2","1","","LmW.","1364","Wes McKinney","102497"
"10009468","2012-04-04 10:38:56","9","5694","GroupBy functions in Python Pandas like SUM(col_1*col_2), weighted average etc","3","0","0","Arthur G","1397","Wes McKinney","102497"
"10015284","2012-04-04 16:22:28","2","7839","How you create a datetime index in pandas","3","0","0","Merlin","24772","",""
"10017938","2012-04-04 19:27:14","2","1938","How to index with a list of values with only one label in a Pandas MultiIndex","1","0","0","John Cornwell","359","LmW.","1364"
"10020591","2012-04-04 23:17:23","49","44397","How to resample a dataframe with different functions applied to each column?","4","0","0","bmu","35359","bmu","35359"
"10027719","2012-04-05 11:28:00","0","927","Installing Pandas with Python 2.5 on Windows","1","0","","JamesS","310","Wes McKinney","102497"
"10065051","2012-04-08 18:01:13","98","126795","python-pandas and databases like mysql","14","4","0","user1320615","1247","",""
"10114399","2012-04-11 21:40:38","25","18529","Pandas: simple 'join' not working?","2","0","0","Phil","355","Wes McKinney","102497"
"10130734","2012-04-12 19:51:25","3","3933","Best way to insert a new value","1","0","0","geronimo","1297","",""
"10133021","2012-04-12 22:56:34","4","2111","Multiindex from array in Pandas with non unique data","1","0","0","elyase","39917","Wes McKinney","102497"
"10145025","2012-04-13 16:52:55","3","1204","Pandas: index data by a histogram result","1","0","0","Rafael S. Calsaverini","13722","Wes McKinney","102497"
"10145224","2012-04-13 17:08:02","9","5791","Pandas: trouble understanding how merge works","1","0","0","Rafael S. Calsaverini","13722","Avaris","36123"
"10158060","2012-04-14 23:00:05","3","4090","How to create high low open close chart with pandas","1","0","0","SlyFly","31","",""
"10158613","2012-04-15 00:37:31","4","2367","Importing Confusion Pandas","3","1","","user1234440","22837","Wes McKinney","102497"
"10175068","2012-04-16 13:27:44","15","8368","Select data at a particular level from a MultiIndex","2","3","0","elyase","39917","elyase","39917"
"10194482","2012-04-17 15:45:10","13","32605","custom matplotlib plot : chess board like table with colored cells","1","3","0","Abhi","6105","Joe Kington","277446"
"10198295","2012-04-17 20:03:13","4","1895","Returning the last valid (non-null) value from a pandas DataFrame","1","0","","bzyueshen","41","",""
"10202570","2012-04-18 03:59:55","353","475631","Find row where values for column is maximal in a pandas DataFrame","14","6","0","Miki Tebeka","13498","ely","75328"
"10214692","2012-04-18 17:28:36","3","3763","pip install numpy pandas fails?","1","2","0","sebas","31","",""
"10215259","2012-04-18 18:04:04","5","2750","pandas aggregated data to a numpy array : data structure conversion","1","0","0","Abhi","6105","Wes McKinney","102497"
"10264739","2012-04-22 02:35:06","9","3044","major memory problems reading in a csv file using numpy","3","2","0","vgoklani","11011","vgoklani","11011"
"10373660","2012-04-29 16:10:35","679","1093164","Converting a Pandas GroupBy multiindex output from Series back to DataFrame","13","6","0","saveenr","8499","Wes McKinney","102497"
"10376647","2012-04-29 22:41:28","12","29361","Installed Python Modules - Python can't find them","2","12","0","mikebmassey","8414","andrew cooke","46045"
"10393447","2012-05-01 04:12:13","0","163","Scope gotcha when dynamically adding methods in a loop","2","0","","Chris Billington","865","Ignacio Vazquez-Abrams","782067"
"10422438","2012-05-02 22:12:45","2","3138","Check if HDF5 Store object is empty?","1","0","","nitin","7292","bmu","35359"
"10445549","2012-05-04 08:43:55","6","3150","Pandas shuffle rows at a certain level","3","0","0","Marijn van Vliet","5259","Garrett","47935"
"10449663","2012-05-04 13:20:52","1","6559","Pandas cannot be imported into IPython","2","1","","Michele Reilly","643","",""
"10457584","2012-05-05 00:00:12","87","137928","Redefining the Index in a Pandas DataFrame object","3","1","0","nitin","7292","Avaris","36123"
"10458493","2012-05-05 03:10:23","1","3738","Pandas: how to plot yearly data on top of each other","2","0","0","dailyglen","705","Garrett","47935"
"10464738","2012-05-05 18:25:59","31","30584","Interpolation on DataFrame in pandas","2","0","0","archlight","687","Avaris","36123"
"10475488","2012-05-07 00:38:47","8","4746","Calculating crossing (intercept) points of a Series or DataFrame","1","1","0","dailyglen","705","dailyglen","705"
"10484106","2012-05-07 14:46:14","11","23675","pandas reading csv orientation","2","0","0","Nicola Vianello","1926","",""
"10484424","2012-05-07 15:04:58","0","215","Possible bug in Series.interpolate","2","0","","dailyglen","705","Avaris","36123"
"10511024","2012-05-09 06:45:29","108","88222","in Ipython notebook / Jupyter, Pandas is not displaying the graph I try to plot","7","2","0","chrisfs","6202","Tal Yarkoni","2534"
"10518803","2012-05-09 15:05:08","2","2347","Cannot export to CSV after data alignment","2","3","","Michele Reilly","643","",""
"10532501","2012-05-10 10:53:48","2","3002","Convert interval datetime values to any-frequency time series","1","3","0","Olexiy Strashko","73","eumiro","208571"
"10545957","2012-05-11 05:36:56","19","28991","creating pandas data frame from multiple files","6","0","0","Abhi","6105","zach","29845"
"10565282","2012-05-12 16:05:17","16","23824","pandas, python - how to select specific times in timeseries","4","0","0","Dr. Dave","163","Marc Shivers","688"
"10575251","2012-05-13 21:05:23","0","316","Why is there this read_fwf() error?","1","0","","user1234440","22837","Garrett","47935"
"10591000","2012-05-14 21:01:58","80","130343","Specifying data type in Pandas csv reader","2","2","0","Gardner","801","",""
"10591796","2012-05-14 22:17:20","1","172","Python Pandas: Aggregate changed from 0.7.1 to 0.7.3","0","2","","Dylan Cutler","81","",""
"10594515","2012-05-15 05:17:50","0","3680","Why isn't read_fwf() output correct content of files?","1","0","","user1234440","22837","",""
"10595327","2012-05-15 06:34:02","4","10872","Pandas: Sort pivot table","1","1","0","mrmagooey","4872","Wes McKinney","102497"
"10601041","2012-05-15 12:49:25","11","4867","Pandas: where's the memory leak here?","1","1","0","iron.arty","301","",""
"10636024","2012-05-17 12:48:00","73","112270","Python / Pandas - GUI for viewing a DataFrame or Matrix","20","8","0","Ross R","9033","Siva-Sg","2781"
"10665889","2012-05-19 14:11:42","321","672646","How to take column-slices of dataframe in pandas","11","3","0","cpa","3772","Ted Petrou","59812"
"10671227","2012-05-20 06:14:57","0","538","Pandas FloatingPoint Error","1","4","","tshauck","20936","Karmel","3452"
"10697423","2012-05-22 07:14:56","2","4473","How do I display multiple charts in pandas python","2","1","","chrisfs","6202","Wes McKinney","102497"
"10705715","2012-05-22 16:00:59","0","373","averaging half-hourly data for weekdays only","1","1","","Ben Hussey","73","",""
"10706533","2012-05-22 16:54:49","0","1567","Error Installing Pandas using pip, Windows 7 64bit Python 3.2","1","0","","Reflux","2929","Wes McKinney","102497"
"10715519","2012-05-23 07:41:57","69","156369","Conditionally fill column values based on another columns value in pandas","6","0","0","Jan Willem Tulp","1229","Wes McKinney","102497"
"10715965","2012-05-23 08:12:31","1375","2213443","Create a Pandas Dataframe by appending one row at a time","32","12","0","PhE","15964","fred","9822"
"10723847","2012-05-23 16:08:37","0","108","Print out inner series","1","7","","fred","9822","",""
"10728757","2012-05-23 22:27:09","0","2251","numpy function to aggregate a signal for time?","3","4","","saroele","9601","",""
"10729210","2012-05-23 23:21:18","136","199452","iterating row by row through a pandas dataframe","0","0","0","peoplesparkresident","1381","",""
"10751127","2012-05-25 08:35:27","58","49916","Returning multiple values from pandas apply on a DataFrame","2","2","0","Einar","4759","",""
"10760364","2012-05-25 19:33:39","10","4549","""Zebra Tables"" in IPython Notebook?","3","0","0","JD Long","60052","minrk","37801"
"10771745","2012-05-27 04:53:45","0","1197","Removing duplicates from dataframe with index + row matching","1","2","0","dailyglen","705","dailyglen","705"
"10791661","2012-05-29 00:06:52","8","26510","How do I discretize values in a pandas DataFrame and convert to a binary matrix?","5","0","0","Uri Laserson","2411","lbolla","5397"
"10797734","2012-05-29 10:54:38","3","2633","How to optimally apply a function on all items of a dataframe using inputs from another dataframe?","2","2","0","sweetdream","1359","bmu","35359"
"10816994","2012-05-30 13:10:38","1","3857","Python Pandas: Data Downsampling","2","1","","user1412286","191","lbolla","5397"
"10824906","2012-05-30 22:03:44","2","1054","How to create a dataframe from grouped data","1","0","0","user1427057","171","",""
"10839701","2012-05-31 19:04:59","10","6476","Time-weighted average with Pandas","1","0","0","user2303","1213","",""
"10841538","2012-05-31 21:28:05","4","5079","Pandas: List of Column names in a pivot table","1","0","0","Daniel Velazquez","45","",""
"10844493","2012-06-01 04:40:16","8","6417","DataFrame.apply in python pandas alters both original and duplicate DataFrames","1","0","0","MikeGruz","83","BrenBarn","244932"
"10857924","2012-06-01 22:05:44","70","106501","Remove NaN/NULL columns in a Pandas dataframe?","4","1","0","shelly","803","Wes McKinney","102497"
"10867028","2012-06-03 00:38:37","176","211769","Get pandas.read_csv to read empty values as empty string instead of nan","6","2","0","BrenBarn","244932","Wes McKinney","102497"
"10883805","2012-06-04 15:22:52","1","2213","Load un-aligned time series into a DataFrame, with one index?","2","0","0","luffe","1615","",""
"10908295","2012-06-06 04:46:19","5","3324","How to convert pandas dataframe so that index is the unique set of values and data is the count of each value?","1","0","0","dailyglen","705","Wes McKinney","102497"
"10934323","2012-06-07 14:55:58","4","4369","DataFrame.ix() in pandas - is there an option to catch situations when requested columns do not exist?","2","0","0","Lev Selector","3721","",""
"10943478","2012-06-08 05:24:57","16","15230","pandas reindex DataFrame with datetime objects","1","0","0","BFTM","3235","BrenBarn","244932"
"10947968","2012-06-08 11:28:57","5","7887","XML to pandas dataframe","1","1","0","root","77518","eumiro","208571"
"10951341","2012-06-08 15:01:32","106","61843","Pandas DataFrame aggregate function using multiple columns","9","1","0","user1444817","1161","",""
"10972410","2012-06-10 21:12:43","23","66772","pandas: combine two columns in a DataFrame","5","0","0","BFTM","3235","BrenBarn","244932"
"10975690","2012-06-11 07:02:14","3","2561","How to do groupby in pandas with part of date string?","1","0","","jason","3471","eumiro","208571"
"10982089","2012-06-11 14:28:49","132","194278","How to shift a column in Pandas DataFrame","9","1","0","root","77518","eumiro","208571"
"10982266","2012-06-11 14:38:45","4","3170","How to aggregate duplicate timestamps with pandas?","1","2","0","Andrew","768","eumiro","208571"
"11004088","2012-06-12 20:11:53","5","2429","indexing a pandas DataFrame","1","0","0","elyase","39917","diliop","9321"
"11005012","2012-06-12 21:17:34","1","621","Importing data table using Pandas - Exception: Index (columns 0) have duplicate values [nan]","1","2","0","user1452228","21","",""
"11012981","2012-06-13 10:29:47","6","10127","Create Excel-like SUMIFS in Pandas","2","0","0","Julio Guzman","81","",""
"11015974","2012-06-13 13:32:55","0","912","Vectorize High Frequency Data, Calculate Spread,","1","4","","Andrew","768","Pavel T","423"
"11017862","2012-06-13 15:06:07","2","4633","Pyodbc default types for numbers","2","0","","Roger","398","Bryan","17302"
"11018120","2012-06-13 15:19:52","2","629","Bug in resampling with pandas 0.8?","1","0","","sweetdream","1359","Wes McKinney","102497"
"11037895","2012-06-14 16:58:42","10","1879","How can I generalize my pandas data grouping to more than 3 dimensions?","1","0","0","Tim Whitcomb","10497","Wes McKinney","102497"
"11039985","2012-06-14 19:25:11","1","69","to_panel fills nonexistent values with (seemingly) huge random numbers","0","1","","K Raphael","821","",""
"11040626","2012-06-14 20:09:38","72","45480","Pandas DataFrame Add column to index without resetting","2","0","0","user1441053","720","Wes McKinney","102497"
"11041411","2012-06-14 21:11:12","10","10311","How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?","2","1","0","dailyglen","705","diliop","9321"
"11057222","2012-06-15 19:45:33","6","2207","How can I iterate and apply a function over a single level of a DataFrame with MultiIndex?","2","0","0","Tim Whitcomb","10497","Wes McKinney","102497"
"11067027","2012-06-16 21:05:01","498","570197","Sorting columns in pandas dataframe based on column name","11","3","0","pythOnometrist","6561","BrenBarn","244932"
"10767163","2012-05-26 14:41:22","1","1256","Python Pandas GroupBy equivalent of If A and not B where clause in SQL","1","0","0","pythOnometrist","6561","lbolla","5397"
"10717504","2012-05-23 09:53:22","10","9887","Is it possible to use read_csv to read only specific lines?","4","0","0","user1412286","191","eumiro","208571"
"11073609","2012-06-17 18:07:39","68","101245","How to group DataFrame by a period of time?","3","0","0","serguei","703","BrenBarn","244932"
"11077023","2012-06-18 04:45:48","207","138548","What are the differences between Pandas and NumPy+SciPy in Python?","3","0","0","","","Wes McKinney","102497"
"11105728","2012-06-19 16:57:17","5","12267","Pivoting a DataFrame in Pandas for output to CSV","1","3","","user1467068","51","",""
"11106823","2012-06-19 18:11:14","68","132866","Adding two pandas dataframes","4","1","0","cs0679","681","Wes McKinney","102497"
"11129478","2012-06-20 23:11:41","0","1077","Directed graph in pandas","2","0","0","poeticcapybara","555","Keith C Campbell","1046"
"11131647","2012-06-21 04:48:00","2","293","Pandas - Aggregating grouped data provided certain criteria is met","1","0","0","enrishi","2973","",""
"11136006","2012-06-21 10:15:21","5","6703","Python Pandas: What is the fastest way to create a datetime index?","1","2","0","user1412286","191","diliop","9321"
"11138859","2012-06-21 13:07:26","1","3224","Pandas panel data","2","0","","Michael WS","2500","",""
"11139757","2012-06-21 13:54:52","2","1084","using pandas how do I get the mean of last two rows in a group","1","0","0","user1472282","21","",""
"11157450","2012-06-22 13:47:00","3","1083","How do you force a figure redraw ipython notebook inline?","1","0","0","Bonnie Yu MSFT","300","",""
"11170653","2012-06-23 15:22:48","9","2389","pandas row specific apply","2","0","","Carson Farmer","546","luke14free","2529"
"11174367","2012-06-24 01:32:34","4","5000","Averaging data from multiple data files in Python with pandas","3","0","0","Randy Olson","3171","Wes McKinney","102497"
"11175213","2012-06-24 05:33:45","3","2619","pandas read_csv() input local datetime strings, tz_convert to UTC","1","0","","Jeff Kowalczyk","571","",""
"11193212","2012-06-25 16:22:35","3","677","Pandas changes default numpy array format","2","0","","Johann Hibschman","2007","",""
"11194610","2012-06-25 17:52:09","40","35181","How can I reorder multi-indexed dataframe columns at a specific level","6","1","0","Tim Whitcomb","10497","Irv","560"
"11197690","2012-06-25 21:34:19","5","950","pandas MovingOLS doesn't support NA values?","1","0","","Preyas","65","Wes McKinney","102497"
"11199437","2012-06-26 00:52:19","2","2070","issue with pandas and semilog for boxplot","1","2","","Bonnie Yu MSFT","300","",""
"11230071","2012-06-27 15:41:10","3","894","Resampling pandas timeseries without computing a new offset","1","0","","Tim Whitcomb","10497","",""
"11232275","2012-06-27 17:58:38","54","47250","Pandas pivot warning about repeated entries on index","6","1","0","Tarantula","19208","Wes McKinney","102497"
"11233502","2012-06-27 19:21:52","1","520","Inconsistent R^2 adjusted values in pandas OLS","1","0","","Preyas","65","Wes McKinney","102497"
"11235604","2012-06-27 22:21:04","0","565","nosetests: algorithms.py:125: RuntimeWarning: tp_compare didn't return -1 or -2 for exception","1","0","","user1487028","11","",""
"11237557","2012-06-28 03:07:25","0","452","TypeError on read_csv, working in pandas .7, error in .8.0rc2, possible dependency error?","2","0","","Jeff","377","Chang She","16750"
"11253390","2012-06-28 21:47:30","1","714","Find all elements in dataframe column that startswith string","1","0","","Julio Guzman","81","",""
"11264307","2012-06-29 15:09:28","11","8541","Adding levels to MultiIndex, removing without losing","1","0","0","Arthur G","1397","Arthur G","1397"
"11265116","2012-06-29 15:58:11","1","6121","Most efficient way to calculate the mean of a group of columns in a pandas DataFrame","2","0","0","Einar","4759","DSM","345177"
"11285613","2012-07-01 21:03:16","1726","3915475","Selecting multiple columns in a Pandas dataframe","24","0","0","user1234440","22837","ely","75328"
"11289670","2012-07-02 07:52:09","0","1057",".EXE installer crashes when installing Python modules: IPython, Pandas and Matplotlib","3","1","","","","",""
"11295147","2012-07-02 13:55:35","3","3897","Winsorize data in Pandas for Python","1","1","0","David M","169","ecatmur","153982"
"11298097","2012-07-02 17:06:58","2","1414","concatenating TimeSeries of different lengths using Pandas","1","1","0","user1496672","21","",""
"11306167","2012-07-03 07:16:53","1","1152","Pandas slicing on a timeseries seems inconsistent with list slicing","1","2","","Lamarth","53","eumiro","208571"
"11314693","2012-07-03 15:53:33","7","8488","Can I export a Python Pandas dataframe to MS SQL?","2","0","0","David M","169","lbolla","5397"
"11321243","2012-07-04 01:09:56","3","2593","grouped pandas DataFrames: how do I apply scipy.stats.sem to them?","1","4","0","Randy Olson","3171","ely","75328"
"11329611","2012-07-04 12:57:23","0","1490","Python Pandas: to_panel() from dataframe returns weird numbers for binary variable","2","0","","user1501612","1","",""
"11334098","2012-07-04 18:43:10","3","8924","How to take out the column index name in dataframe","2","0","0","user1234440","22837","ely","75328"
"11337437","2012-07-05 03:10:24","1","447","Convert object to DateRange","1","1","","lycovian","343","",""
"11346283","2012-07-05 14:21:15","2938","6210387","Renaming column names in Pandas","36","0","0","user1504276","29475","eumiro","208571"
"11348183","2012-07-05 15:59:54","32","65663","Pandas bar plot with specific colors and legend location?","2","0","0","Shane","98978","Wes McKinney","102497"
"11350488","2012-07-05 18:38:37","1","1057","Efficient way to calculate averages, standard deviations from a txt file","1","2","0","user1504774","117","Amyunimus","1613"
"11350770","2012-07-05 18:57:34","873","1409049","Filter pandas DataFrame by substring criteria","18","0","0","euforia","8815","",""
"11360675","2012-07-06 10:43:35","6","7160","slicing pandas dataframe on date range","2","0","0","Gonzalo","1456","",""
"11361985","2012-07-06 12:12:49","136","302753","Output data from all columns in a dataframe in pandas","7","0","0","Curious2learn","32132","eumiro","208571"
"11362376","2012-07-06 12:39:18","1","154","Append extras informations to Series in Pandas","1","0","","LionelR","361","",""
"11362943","2012-07-06 13:16:37","25","43014","Efficient Cointegration Test in Python","3","1","0","Akavall","83452","",""
"11391969","2012-07-09 09:04:33","106","183206","How to group pandas DataFrame entries by date in a non-unique column","6","1","0","Boris Gorelik","30401","DACW","2681"
"11398688","2012-07-09 15:51:48","1","624","merging DataFrames with pandas","1","0","","Claus","4469","Chang She","16750"
"11400181","2012-07-09 17:36:31","5","9224","pandas pivoting a dataframe, duplicate rows","3","1","0","tomas","665","",""
"11414596","2012-07-10 13:40:36","5","9369","dropping a row in pandas with dates indexes, python","2","0","","user1504276","29475","eumiro","208571"
"11415701","2012-07-10 14:36:11","17","20822","Efficiently construct Pandas DataFrame from large list of tuples/rows","2","2","0","ely","75328","eumiro","208571"
"11416692","2012-07-10 15:26:15","2","1642","Plotting millisecond range in pandas","1","0","","user1515250","85","Chang She","16750"
"11418192","2012-07-10 16:56:37","109","128271","pandas: complex filter on rows of DataFrame","6","0","0","duckworthd","14809","duckworthd","14809"
"11422552","2012-07-10 21:48:20","3","393","pandas: bypassing numerical index","1","0","","duckworthd","14809","Chang She","16750"
"11423690","2012-07-10 23:55:38","1","1249","better method to aggregate pandas dataframe by non matching criteria","1","0","0","mrjoh3","437","Wes McKinney","102497"
"11423790","2012-07-11 00:09:49","1","1107","Why am I getting an is_monotonic assertion error using pandas Series.asfreq","1","0","","MikeRand","4808","Chang She","16750"
"11435668","2012-07-11 15:06:33","3","6089","All possible combinations of columns of a DataFrame - pandas / python","2","0","0","gustavopr","33","Chang She","16750"
"11459106","2012-07-12 19:21:46","5","4762","How use the mean method on a pandas TimeSeries with Decimal type values?","1","1","0","THM","765","ely","75328"
"11470105","2012-07-13 12:00:42","2","3530","Pandas advanced indexing assignment","1","0","0","brendan","23","ely","75328"
"11492215","2012-07-15 13:14:38","3","2776","How to do a groupby on an empty set of columns in Pandas?","2","0","","joelhoro","900","DSM","345177"
"11495051","2012-07-15 19:44:50","22","7200","Difference in Python statsmodels OLS and R's lm","2","0","0","Skylar Saveland","11194","Dirk is no longer here","363341"
"11511880","2012-07-16 20:17:12","7","2506","issue converting python pandas DataFrame to R dataframe for use with rpy2","3","0","0","yayder9990","93","Joshua Ulrich","174360"
"11515290","2012-07-17 02:35:00","4","1171","Snapping to hours in pandas","2","1","","Lamarth","53","",""
"11538574","2012-07-18 09:44:49","2","759","Howto sum by col","3","0","","jouclar","21","",""
"11548005","2012-07-18 18:30:02","230","115518","NumPy or Pandas: Keeping array type as integer while having a NaN value","10","3","0","ely","75328","techvslife","2313"
"11553370","2012-07-19 03:06:07","1","2315","Efficient method for getting elementwise types in Python/Pandas","1","5","","ely","75328","Wes McKinney","102497"
"11563435","2012-07-19 14:49:41","0","547","Float vs Int behavior in df.set_index()","1","2","","Peter","1064","",""
